component_id,name,role,input_format,output_format,is_novel,ablation_priority,status,notes
SHAPE-01,Untouched paired-world generators,"Create four new response-shape mechanisms with shared innovations","mechanism config and seed","factual/intervened arrays and oracle responses",yes,high,verified,"No P0 parameter reuse; 768 scenarios passed preflight"
SHAPE-02,Four-world synergy constructor,"Align factual A-only B-only and joint worlds","two-covariate future paths","marginal joint and interaction responses",yes,high,verified,"Strict identity and shared-noise assertions passed"
SHAPE-03,Response block operator,"Aggregate signed horizon-wise response at widths 1/2/4/8","response vector and block width","signed block-sum vector",yes,high,verified,"Horizon 24 is divisible by all primary widths"
SHAPE-04,Signed shape distance,"Compare signed L1-normalized oracle and predicted block responses","two block-sum vectors","distance in [0,1]",yes,high,verified,"Primary fine-resolution metric; construct checks passed"
SHAPE-05,Hidden-distortion contrast,"Measure fine distance minus width-8 distance","D_1 and D_8","signed scalar gap",yes,high,verified,"Primary multi-resolution contrast; construct checks passed"
SHAPE-06,Temporal mass distance,"Measure displacement of absolute response mass","two response vectors","normalized Wasserstein distance",no,medium,verified,"Diagnostic only"
SHAPE-07,Onset and peak diagnostics,"Measure timing errors with deterministic tie rules","response vectors and support","two normalized errors",no,medium,verified,"Diagnostic only"
SHAPE-08,Signed-lobe diagnostics,"Separate positive and negative response mass","response vectors","two relative errors",yes,medium,verified,"Required for biphasic interpretation"
SHAPE-09,Construct-fixture ladder,"Test selectivity and severity before model access","analytic response fixtures","validation report",yes,high,verified,"All 11 blocking checks passed before model access"
SHAPE-10,Frozen model adapters,"Reuse verified common interfaces without fitting","paired model batches","aligned median and quantile forecasts",no,medium,verified,"Pinned Chronos-2 and TimesFM-3 interfaces completed"
SHAPE-11,Transparent fitted references,"Fit fixed ARX and nonlinear dynamic regressions","scenario context only","aligned forecasts",no,medium,verified_post_primary_descriptive,"Separately frozen supplement complete; not primary evidence"
SHAPE-12,Series-cluster bootstrap,"Preserve within-series horizon dependence","per-series metric records","cell intervals",no,high,verified,"5000 deterministic replicates"
SHAPE-13,Frozen P1 decision,"Apply coarse eligibility shape bounds diversity and skill complement","complete cell summaries","continue/stop report",yes,high,verified,"Primary gate passed with three retained qualifying cells"
