baseline_id,name,paper_title,arxiv_id,code_url,category,role,selected,selection_reason,license_or_access,result_status
B01,Analytic structural oracle,N/A,N/A,N/A,foundational,"Returns the exact paired structural response and serves as the metric ceiling",yes,"Required to prove that every audit metric rewards a faithful response",project_code,planned
B02,Target-only frozen backbone,N/A,N/A,N/A,ablation_anchor,"Forecasts from target history with no future covariates",yes,"Separates ordinary forecast skill from any benefit or failure caused by covariate use",inherits_backbone_license,planned
B03,Zero-response predictor,N/A,N/A,N/A,metric_fixture,"Copies the factual forecast under intervention",no,"Validation fixture rather than a competitive baseline; expected to fail active-mechanism fidelity",project_code,planned
B04,Sign-flipped response predictor,N/A,N/A,N/A,metric_fixture,"Negates the oracle intervention response",no,"Validation fixture rather than a competitive baseline; must fail direction agreement",project_code,planned
B05,Gain-distorted response predictor,N/A,N/A,N/A,metric_fixture,"Scales the oracle response by fixed gains 0.25 and 2.0",no,"Validation fixture rather than a competitive baseline; must isolate gain errors",project_code,planned
B06,Lag-shifted response predictor,N/A,N/A,N/A,metric_fixture,"Shifts the oracle response along the horizon",no,"Validation fixture rather than a competitive baseline; must reduce localization",project_code,planned
B07,Ridge-ARX,Ridge regression with autoregressive and exogenous lags,N/A,https://scikit-learn.org/stable/modules/linear_model.html,foundational,"Transparent fitted covariate-response baseline",yes,"Provides an interpretable non-foundation-model reference on linear and lagged mechanisms",BSD-3-Clause,planned
B08,Chronos-2,Chronos-2: From Univariate to Universal Forecasting,2510.15821,https://github.com/amazon-science/chronos-forecasting,direct_competitor,"Frozen zero-shot TSFM with native known-future covariates",yes,"Primary backbone with an official public implementation and a distinct covariate interface",Apache-2.0_code_check_model_card,planned
B09,TimesFM-3,TimesFM 3.0,N/A,https://github.com/google-research/timesfm,direct_competitor,"Frozen zero-shot TSFM with native multivariate and future-covariate support",yes,"Primary cross-architecture backbone with an official public implementation",Apache-2.0_code_noncommercial_weights,planned
B10,CITRAS-FM,CITRAS-FM: Tiny Time Series Foundation Model for Covariate-Informed Zero-Shot Forecasting,2606.10798,https://github.com/hitachi-ais/citras-fm,direct_competitor,"Optional small covariate-informed zero-shot backbone",no,"Useful third backbone only after API license and horizon checks; excluded from the P0 gate",verify_before_p1,planned
B11,ChronosX,ChronosX: Adapting Pretrained Time Series Models with Exogenous Variables,2503.12107,https://github.com/amazon-science/chronos-forecasting/tree/chronosx,direct_competitor,"Adaptation method for exogenous variables",no,"Relevant related work but it requires fitting and is not comparable to the frozen native-covariate P0 question",verify_branch_license,planned
B12,TFMAdapter,TFMAdapter: Lightweight Instance-Level Adaptation of Foundation Models for Forecasting with Covariates,2509.13906,N/A,direct_competitor,"Instance-level covariate adapter",no,"Retained for P1 only if official code and a fair frozen-backbone integration are available",code_not_verified,planned
B13,All-dynamic factual input,N/A,N/A,N/A,ablation_anchor,"Uses factual known-future covariates without intervention",yes,"Defines the factual member of every paired model call and the observational skill comparison",inherits_backbone_license,planned
