name,paper_title,arxiv_id,code_url,category,datasets_tested,metrics_reported,strengths,weaknesses,selected,selection_reason
Chronos-2,Chronos-2 From Univariate to Universal Forecasting,2510.15821,https://huggingface.co/amazon/chronos-2,direct_competitor,traffic_daily;workload_5min;solar_10min,DSA;RGR;D_b;G;SQL;WQL,Native known-future covariate zero-shot interface,Only one checkpoint revision,yes,P1 native backbone reused unchanged
TimesFM-3,TimesFM-3 A Zero-Shot Foundation Model for Multivariate Forecasting,N/A,https://huggingface.co/google/timesfm-3.0-pytorch,direct_competitor,traffic_daily;workload_5min;solar_10min,DSA;RGR;D_b;G;SQL;WQL,Cross-architecture native covariate interface,Noncommercial model license,yes,P1 native backbone reused unchanged
Chronos-2 target-only,Same Chronos-2 checkpoint,N/A,https://huggingface.co/amazon/chronos-2,ablation_anchor,traffic_daily;workload_5min;solar_10min,SQL;WQL,Matched checkpoint and target history,No covariate response by design,yes,Forecast-skill complement
TimesFM-3 target-only,Same TimesFM-3 checkpoint,N/A,https://huggingface.co/google/timesfm-3.0-pytorch,ablation_anchor,traffic_daily;workload_5min;solar_10min,SQL;WQL,Matched checkpoint and target history,No covariate response by design,yes,Forecast-skill complement
Analytic paired oracle,N/A,N/A,N/A,measurement_reference,traffic_daily;workload_5min;solar_10min,DSA;RGR;D_b;G,Exact structural response after source-specific baseline link,Not a competing forecast method,yes,Required ground truth for response metrics
Ridge-ARX,Ridge regression applied to fixed dynamic lags,N/A,N/A,transparent_reference,traffic_daily;workload_5min;solar_10min,DSA;RGR;D_b;SQL;WQL,Interpretable context-fitted reference,Not zero-shot or directly rank-comparable,no,Optional descriptive supplement only after main study
Nonlinear dynamic regression,Fixed P1-REF feature expansion,N/A,N/A,transparent_reference,traffic_daily;workload_5min;solar_10min,DSA;RGR;D_b;SQL;WQL,Tests attainable nonlinear context fit,Not zero-shot or directly rank-comparable,no,Optional descriptive supplement only after main study
Seasonal naive,N/A,N/A,N/A,foundational,traffic_daily;workload_5min;solar_10min,SQL;WQL,Cheap conventional accuracy anchor,No exogenous response interface,no,Not useful for structural response comparison
ChronosX,ChronosX Adapting Pretrained Time Series Models with Exogenous Variables,N/A,https://proceedings.mlr.press/v258/arango25a.html,direct_competitor,not_run,DSA;RGR;D_b;SQL;WQL,Relevant exogenous adaptation method,Adaptation changes training regime,no,Would confound frozen zero-shot comparison
TFMAdapter,TFMAdapter Lightweight Instance-Level Adaptation of Foundation Models for Forecasting with Covariates,2509.13906,https://arxiv.org/abs/2509.13906,direct_competitor,not_run,DSA;RGR;D_b;SQL;WQL,Relevant covariate adaptation method,Instance adaptation changes regime,no,Outside P3 frozen-backbone transfer question
COSMIC,Zero-Shot Time Series Forecasting with Covariates via In-Context Learning,2506.03128,https://arxiv.org/abs/2506.03128,direct_competitor,not_run,DSA;RGR;D_b;SQL;WQL,Relevant in-context covariate model,Interface and checkpoint require separate audit,no,Optional new-backbone study only
Gain-scaled oracle,N/A,N/A,N/A,construct_fixture,analytic_only,RGR;D_b,Separates shape from gain in CPU checks,Not a learned model,no,Retain P1 construct validation rather than add a fake baseline
