experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes
P3-D01,construct_validation,P3-C0,all_three_sources,source_hash;selection_count;cadence;finite;context_activity,analytic_oracle,CPU_data_only,Verified data eligibility before inference,verified,323/82/137 eligible source IDs under past-only target selection; no model output
P3-D02,construct_validation,P3-C0,all_three_sources,paired_context_identity;oracle_mass;determinism,analytic_oracle,CPU_paired_replay,All blocking assertions pass before freeze,verified,Registered gate failed in three dispersed-delay source-family cells; no model inference authorized
P3-M01,main_comparison,P3-C1,traffic_daily,DSA;RGR;D1;D2;D4;D8;G;relative_SQL;relative_WQL,Chronos-2;TimesFM-3;target-only;oracle,both_families,Report both families and backbones including nulls,planned,48 original IDs with three synthetic seeds each
P3-M02,main_comparison,P3-C1,workload_5min,DSA;RGR;D1;D2;D4;D8;G;relative_SQL;relative_WQL,Chronos-2;TimesFM-3;target-only;oracle,both_families,Report both families and backbones including nulls,planned,48 original IDs with three synthetic seeds each
P3-M03,main_comparison,P3-C1,solar_10min,DSA;RGR;D1;D2;D4;D8;G;relative_SQL;relative_WQL,Chronos-2;TimesFM-3;target-only;oracle,both_families,Report both families and backbones including nulls,planned,48 original IDs with three synthetic seeds each
P3-A01,ablation,P3-C0,all_three_sources,zero_intervention_oracle_l1,analytic_oracle,paired_identity,Exact zero structural difference when future covariates are unchanged,planned,CPU integrity control only
P3-A02,ablation,P3-C1,all_three_sources,relative_SQL;relative_WQL,matched_target_only,remove_covariate_input,Quantify whether covariates improve factual forecast skill,planned,No target-only D_b claim
P3-A03,ablation,P3-C3,all_three_sources,sham_predicted_l1_over_active_oracle_l1,Chronos-2;TimesFM-3,placebo_future_pulse,Report false response to structurally irrelevant covariate,planned,First 12 selected IDs per source only
P3-A04,ablation,P3-C2,all_three_sources,D1;G;relative_SQL,Chronos-2;TimesFM-3,lower_link_cap_1p2,Report effect-strength sensitivity without selecting better setting,planned,First 12 selected IDs per source only; main cap remains 1.4
P3-R01,robustness,P3-C2,all_three_sources,complete_twelve_cell_matrix,Chronos-2;TimesFM-3,source_by_family_by_backbone,Apply unchanged P1 rule descriptively and retain failures,planned,Supportive transfer requires a complete cell in at least two sources
P3-E01,efficiency,P3-C4,all_three_sources,model_load_seconds;inference_seconds;peak_memory,Chronos-2;TimesFM-3,full_p3_run,Record compute cost without superiority claim,planned,T4 smoke then A100 if runtime requires
