component_id,name,role,input_format,output_format,is_novel,replaceable_by,ablation_priority,notes
COMP-01,Structural mechanism generator,"Generate target and covariate histories plus paired future worlds with shared innovations","mechanism config and deterministic seed","factual and intervened arrays plus oracle response",yes,"independently sampled worlds",high,"Validate with exact replay and determinism tests"
COMP-02,Matched intervention constructor,"Perturb exactly one known-future covariate while holding history and other inputs fixed","factual future covariates and intervention config","intervened future covariates and active mask",yes,"unpaired or unrestricted perturbation",high,"Assert the changed column and intervention support"
COMP-03,Frozen model adapter,"Map the common audit batch into each public model API without tuning","common batch schema","median and quantile forecasts",no,"backbone-specific direct calls",medium,"Validate shapes revisions and absence of fitting"
COMP-04,Target-only comparator,"Invoke the same frozen backbone without future covariates","target history","median and quantile forecasts",no,"seasonal naive or Ridge-ARX",medium,"Use identical series horizon and quantiles"
COMP-05,Paired response extractor,"Subtract factual forecasts from intervention forecasts for the same series","two aligned forecast tensors","predicted horizon-wise response",yes,"independent forecast differences",high,"Validate identity alignment and pairing"
COMP-06,Directional Sign Agreement,"Measure sign correctness only on predeclared oracle-active horizons","predicted and oracle responses plus support threshold","per-series score in [0,1]",yes,"sign over every horizon",high,"Test oracle zero sign-flip and scale fixtures"
COMP-07,Response Gain Ratio,"Measure total predicted response magnitude relative to oracle magnitude","predicted and oracle active responses","positive per-series ratio",yes,"raw response magnitude",high,"Test oracle under-gain and over-gain fixtures"
COMP-08,Normalized Response Error,"Measure L1 response error normalized by oracle effect magnitude","predicted and oracle active responses","nonnegative per-series error",no,"unnormalized absolute error",medium,"Test oracle scale and offset fixtures"
COMP-09,Temporal Localization Score,"Compare L1-normalized absolute response profiles across the horizon","predicted and oracle response profiles","per-series overlap in [0,1]",yes,"peak-lag error or unrestricted cosine",high,"Test oracle zero and lag-shift fixtures"
COMP-10,Placebo Response Ratio,"Normalize response to an irrelevant covariate by the matched active oracle response","placebo predicted response and matched active oracle response","nonnegative per-series ratio",yes,"division by zero placebo truth",high,"Test zero leakage and spurious-response fixtures"
COMP-11,Series-cluster bootstrap,"Preserve horizon dependence by resampling whole paired series within generator seeds","per-series metric records","cell estimates and percentile confidence intervals",no,"horizon-level iid bootstrap",high,"Test deterministic sampling and synthetic coverage"
COMP-12,Frozen continuation gate,"Apply direction gain placebo and complementary-accuracy rules without result-dependent edits","cell summaries and frozen thresholds","continue or stop decision with reasons",yes,"manual result inspection",high,"Test boundary values and immutable config hashing"
