ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
R1,Research,Pin official model interfaces and revisions,N/A,C2,citation,N/A,n/a,"Verify the two official repositories checkpoint revisions package versions APIs and licenses used by P0",N/A,0,N/A,"A source note records official URLs exact model revisions package versions and license constraints",DONE,0,N/A,yes,"Recorded in notes/sources/model-interface-lock.md; no broad literature expansion"
E0,Experiment,Freeze owner-approved P0 contract,N/A,C2,experiment,EXP-V01,verified,"Change the approved config to frozen status and record a canonical content hash before model inference",N/A,0,N/A,"The frozen config is schema-valid inference-authorized and has a separately stored canonical SHA-256",DONE,0,N/A,yes,"Owner approval received 2026-09-18; pre-inference aggregation clarification recorded; canonical hash 56cd2ff3a3e5"
E1,Experiment,Implement deterministic structural generators,N/A,C2,experiment,EXP-V01,verified,"Implement the four mechanisms paired interventions shared innovations and analytic oracle responses",N/A,0,N/A,"All mechanisms are deterministic by seed preserve paired histories and produce valid nonzero active references",DONE,0,E0,yes,"CPU-only implementation; 768-scenario inventory preflight passed"
E2,Experiment,Implement response-faithfulness metrics,N/A,C2,experiment,EXP-V01,verified,"Implement active support DSA RGR NRE TLS PRR and aligned forecast-response extraction",N/A,0,N/A,"Metric functions validate shapes remain finite and reproduce analytic fixture values",DONE,0,E0,yes,"No model inference"
E3,Experiment,Validate analytic and deliberately broken fixtures,N/A,C2,experiment,EXP-V01,verified,"Test oracle zero sign-flipped gain-distorted lag-shifted scale and offset fixtures",N/A,0,N/A,"The oracle receives exact ideal scores and each broken fixture fails only the intended dimensions within documented tolerances",DONE,0,E1;E2,yes,"Blocking tests passed before adapter construction"
E4,Experiment,Implement stratified bootstrap and frozen gate,N/A,C1,experiment,EXP-V05,verified,"Implement within-seed paired-series bootstrap confidence intervals and the immutable P0 continuation decision",N/A,0,N/A,"Deterministic tests cover low-side high-side gain-side diversity and complementary-accuracy boundaries",DONE,0,E2,yes,"Five thousand replicates in real analysis; smaller counts used only in unit tests"
E5,Experiment,Implement frozen model adapter interfaces,N/A,C2,experiment,EXP-P01,verified,"Define common batches and adapters for Chronos-2 TimesFM-3 and target-only calls with revision checks",N/A,0,N/A,"Adapters expose aligned factual intervened and target-only forecasts without fitting or threshold access",DONE,0,E3;R1,yes,"GPU imports are lazy and adapter contracts pass fake-backend tests"
E6,Experiment,Create isolated backbone smoke notebook,N/A,C1,experiment,EXP-P01,verified,"Create a notebook that clones the repository verifies the config hash runs CPU tests and performs one-series-per-cell backbone smoke inference",N/A,0,N/A,"Notebook resumes safely writes artifacts outside Git and explicitly cannot compute the P0 continuation gate",DONE,0,E4;E5,yes,"Notebook created; actual checkpoint execution remains E7"
E7,Experiment,Run CPU preflight and one-cell GPU smoke,N/A,C2,experiment,EXP-V01,planned,"Execute all local tests then one series per mechanism and backbone without computing the continuation gate",N/A,0,N/A,"Smoke manifest verifies finite aligned outputs checkpoint revisions and zero access to the full P0 decision",TODO,0,E6,yes,"Awaiting user execution after code handoff"
E8,Experiment,Run complete frozen P0,N/A,C1,mixed,EXP-P05,placeholder,"Execute every frozen backbone-by-mechanism cell and compute the predeclared decision once",N/A,0,"Complete cell matrix and skill-versus-fidelity plot","All raw artifacts are complete hashes match and the decision report includes every null and adverse cell",TODO,0,E7,yes,"Awaiting user execution; use T4 first and A100 only for runtime"
W1,Writing,Draft problem and distinction,Introduction,C1,mixed,N/A,placeholder,"Write forecast accuracy versus covariate-response faithfulness after the literature gate",core,8,"Figure 1 paired factual and intervened futures","Every motivation claim has a verified source and no P0 outcome is stated as fact",TODO,0,R1,yes,"Do not start until ref.bib contains at least 25 verified entries"
W2,Writing,Draft CovIntervene method,CovIntervene,C2,mixed,EXP-V01,planned,"Describe generators pairing metrics aggregation and frozen gate after implementation evidence exists",standard,6,"Figure 2 mechanisms and metrics","Definitions match tested code and every deviation from the frozen config is absent or disclosed",TODO,0,E3;E4,yes,"Hypothesis-safe until P0 is verified"
W3,Writing,Draft results,Results,C1,mixed,EXP-P05,placeholder,"Back-fill the complete P0 matrix only from verified evidence artifacts",standard,4,"Table 2 full model-by-mechanism matrix","Every number traces to a hashed artifact and failed or null cells are retained",TODO,0,E8,yes,"No prose before verified results"
Q1,QA,Audit reproducibility and claim boundaries,N/A,C1,mixed,N/A,n/a,"Check hashes seeds dependencies licenses result statuses and synthetic-to-real claim limits",N/A,0,N/A,"All experiment issues satisfy dependencies and no unverified result is written factually",TODO,0,W1;W2;W3,yes,"Final pre-submission gate"
