experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes
EXP-V01,validation,C2,analytic_oracle,"DSA; RGR; NRE; TLS; PRR","oracle; zero-response; sign-flipped; gain-distorted; lag-shifted",full_metric_suite,"Exact fixtures recover their analytically specified values and all deliberately broken fixtures are detected",planned,"Blocking pre-inference validation"
EXP-V02,ablation,C2,scale_and_offset_fixtures,"DSA; RGR; NRE; TLS",analytic_oracle,raw_unnormalized_error,"Canonical metrics remain invariant to positive affine target scaling while raw error does not",planned,"Negative target scaling is separate because it reverses response signs"
EXP-V03,ablation,C2,paired_world_fixture,"NRE; response variance",analytic_oracle,independent_future_innovations,"Quantifies contamination introduced by replacing shared innovations with independent innovations",planned,"The paired shared-innovation protocol remains primary"
EXP-V04,ablation,C2,active_support_fixture,"DSA; TLS","analytic oracle; zero-response",all_horizon_support,"Compares the frozen 10 percent peak support with all-horizon scoring",planned,"Five and twenty percent support are sensitivity analyses only"
EXP-V05,ablation,C2,bootstrap_fixture,"95 percent CI width; coverage",analytic_oracle,horizon_iid_bootstrap,"Shows the uncertainty distortion from treating correlated horizons as independent",planned,"Series-cluster bootstrap remains primary"
EXP-P01,main_comparison,C1,contemporaneous_linear,"SQL; WQL; DSA; median RGR; NRE; TLS","Chronos-2; TimesFM-3; target-only; Ridge-ARX; oracle",frozen_covintervene,"No directional outcome assumed; evaluate the frozen continuation rules",planned,"Each cell has 64 series under each of three generator seeds"
EXP-P02,main_comparison,C1,delayed_distributed_lag,"SQL; WQL; DSA; median RGR; NRE; TLS","Chronos-2; TimesFM-3; target-only; Ridge-ARX; oracle",frozen_covintervene,"No directional outcome assumed; evaluate delayed response and localization",planned,"Known onset and distributed lag profile"
EXP-P03,main_comparison,C1,threshold_saturation,"SQL; WQL; DSA; median RGR; NRE; TLS","Chronos-2; TimesFM-3; target-only; Ridge-ARX; oracle",frozen_covintervene,"No directional outcome assumed; evaluate nonlinear response fidelity",planned,"Interventions stay inside the predeclared empirical envelope"
EXP-P04,main_comparison,C1,irrelevant_placebo,"SQL; WQL; PRR; placebo absolute response","Chronos-2; TimesFM-3; target-only; Ridge-ARX; oracle",frozen_covintervene,"No directional outcome assumed; evaluate spurious response to an irrelevant covariate",planned,"PRR denominator is a matched active oracle response"
EXP-P05,interaction,C3,all_four_mechanisms,all_fidelity_metrics,"Chronos-2; TimesFM-3",complete_cell_matrix,"Report all eight cells and estimate the predeclared mechanism-by-backbone profile",planned,"No universal model ranking is claimed"
EXP-R01,robustness,C2,all_active_mechanisms,"DSA; RGR; NRE; TLS","Chronos-2; TimesFM-3; oracle",effect_strength_sensitivity,"Report weak and strong predeclared effect levels without replacing primary-gate values",planned,"Diagnostic sensitivity only"
EXP-R02,robustness,C2,scale_transform_fixtures,"DSA; RGR; NRE; TLS","Chronos-2; TimesFM-3; oracle",positive_affine_rescaling,"Separate exact metric invariance from empirical model sensitivity to input scaling",planned,"Diagnostic sensitivity only"
EXP-R03,robustness,C1,untouched_generator_seeds,"SQL; DSA; RGR; NRE; TLS; PRR","Chronos-2; TimesFM-3",p1_confirmation,"No outcome assumed; test any P0 finding on untouched seeds",planned,"Authorized only if the frozen P0 gate passes"
EXP-E01,efficiency,C2,all_four_mechanisms,"GPU memory; paired calls per second; wall time","Chronos-2; TimesFM-3",frozen_covintervene,"Record audit cost without an efficiency superiority claim",planned,"Record accelerator and full software versions"
EXP-A01,error_analysis,C3,failed_P0_cells,"response profile; covariate range percentile; target volatility","Chronos-2; TimesFM-3",frozen_stratified_analysis,"Characterize verified failures and null cases under predeclared strata",planned,"No threshold tuning from error strata"
EXP-S01,ablation,C4,untouched_mechanisms,"SQL; DSA; RGR; NRE; TLS; PRR","no safeguard; constant shrinkage; oracle-gain calibration",optional_frozen_safeguard,"No outcome assumed; compare separately frozen safeguards on untouched evidence",placeholder,"Not authorized until P0 passes and the owner approves a new contract"
