experiment_id,type,claim_id,dataset,metric,baselines_involved,our_method_variant,expected_outcome,result_status,notes
P3V2-D01,data_feasibility,P3V2-C0,all_three_sources,eligible_unused_source_id_count;source_hash;v1_overlap_count,analytic_selection,context_only_scan,At least 32 unused eligible IDs per source,verified,275/34/89 unused eligible IDs; no v2 oracle or model output
P3V2-D02,construct_validation,P3V2-C0,all_three_sources,paired_identity;oracle_mass;determinism;exclusion_fraction,analytic_oracle,CPU_paired_replay,All six source-family cells at or below 5% exclusions,verified,Gate passed with five of 576 scenarios excluded; no model inference performed
P3V2-M01,main_comparison,P3V2-C1,traffic_daily,DSA;RGR;D1;D2;D4;D8;G;relative_SQL;relative_WQL,Chronos-2;TimesFM-3;target-only;oracle,both_families,Report both families and backbones including nulls,planned,32 original IDs with three new seeds each
P3V2-M02,main_comparison,P3V2-C1,workload_5min,DSA;RGR;D1;D2;D4;D8;G;relative_SQL;relative_WQL,Chronos-2;TimesFM-3;target-only;oracle,both_families,Report both families and backbones including nulls,planned,32 original IDs with three new seeds each
P3V2-M03,main_comparison,P3V2-C1,solar_10min,DSA;RGR;D1;D2;D4;D8;G;relative_SQL;relative_WQL,Chronos-2;TimesFM-3;target-only;oracle,both_families,Report both families and backbones including nulls,planned,32 original IDs with three new seeds each
P3V2-A01,ablation,P3V2-C0,all_three_sources,zero_intervention_oracle_l1,analytic_oracle,paired_identity,Exact zero structural response when the active future path is unchanged,planned,CPU integrity control
P3V2-A02,ablation,P3V2-C1,all_three_sources,relative_SQL;relative_WQL,matched_target_only,remove_covariate_input,Measure factual forecast skill complement without response metrics,planned,No target-only D_b claim
P3V2-A03,ablation,P3V2-C2,all_three_sources,sham_predicted_l1_over_active_oracle_l1,Chronos-2;TimesFM-3,placebo_future_pulse,Report false response to irrelevant covariate,planned,First 12 selected IDs per source
P3V2-A04,ablation,P3V2-C2,all_three_sources,D1;G;relative_SQL,Chronos-2;TimesFM-3,lower_link_cap_1p2,Report link-strength sensitivity without choosing better setting,planned,First 12 selected IDs per source
P3V2-R01,robustness,P3V2-C1,all_three_sources,complete_twelve_cell_matrix,Chronos-2;TimesFM-3,source_by_family_by_backbone,Apply unchanged P1 rule descriptively and retain failures,planned,Supportive transfer requires a complete cell in at least two sources
P3V2-E01,efficiency,P3V2-C3,all_three_sources,model_load_seconds;inference_seconds;peak_memory,Chronos-2;TimesFM-3,full_p3_v2_run,Record compute cost without superiority claim,planned,T4 smoke then A100 only if runtime requires
