experiment_id,type,claim_id,dataset,metric,baselines_involved,variant,acceptance,result_status,notes
SHP-V01,construct_validation,S2,analytic_shape_fixtures,"RGR; D_b; hidden-distortion gap","oracle; gain-scaled; within-bin shift; cross-bin shift; smoothing","metric_selectivity","All exact and selective assertions in the method spec pass",planned,"CPU only; no checkpoint access"
SHP-V02,construct_validation,S2,biphasic_fixtures,"D_b; positive/negative mass error","oracle; rebound-deleted; sign-flipped; zero-response","signed_lobe_validation","Rebound deletion and sign flip affect intended dimensions with monotone severity",planned,"Blocking"
SHP-V03,construct_validation,S2,synergy_fixtures,"marginal and interaction D_1","oracle; interaction-omitted","interaction_validation","Interaction omission fails interaction metric while exact marginals remain unchanged",planned,"Blocking"
SHP-V04,validation,S2,all_new_generators,"determinism; replay identity; oracle effect floors","analytic replay","generator_preflight","All seeds and parameter corners are finite deterministic paired and nondegenerate",planned,"CPU only"
SHP-P01,main_comparison,S1,biphasic_rebound,"DSA; RGR; D_1; D_8; gap; SQL; WQL","Chronos-2; TimesFM-3; target-only; fitted references","frozen_p1_shape","Apply the complete frozen cell rule without directional assumptions",not_authorized,"Requires APPROVE P1-SHAPE FREEZE"
SHP-P02,main_comparison,S1,dispersed_delayed_pulse,"DSA; RGR; D_1; D_8; gap; SQL; WQL","Chronos-2; TimesFM-3; target-only; fitted references","frozen_p1_shape","Apply the complete frozen cell rule without directional assumptions",not_authorized,"Requires APPROVE P1-SHAPE FREEZE"
SHP-P03,main_comparison,S1,rate_asymmetric_hysteresis,"DSA; RGR; D_1; D_8; gap; SQL; WQL","Chronos-2; TimesFM-3; target-only; fitted references","frozen_p1_shape","Apply the complete frozen cell rule without directional assumptions",not_authorized,"Requires APPROVE P1-SHAPE FREEZE"
SHP-P04,main_comparison,S1,two_covariate_synergy,"marginal and interaction D_b; gap; SQL; WQL","Chronos-2; TimesFM-3; target-only; fitted references","frozen_p1_shape","Apply the complete frozen cell rule to the registered primary contrast",not_authorized,"Requires APPROVE P1-SHAPE FREEZE"
SHP-P05,interaction,S3,all_four_new_mechanisms,"complete metric matrix","Chronos-2; TimesFM-3","backbone_by_mechanism","Report all eight cells and fixed contrasts without model-ranking claims",not_authorized,"No selective cell omission"
SHP-R01,robustness,S1,all_four_new_mechanisms,"D_b curve; distortion AUC","primary backbones","all_resolution_widths","Widths 1/2/4/8 are all reported; no alternative width replaces the primary gate",not_authorized,"Predeclared robustness"
SHP-R02,robustness,S1,all_four_new_mechanisms,"primary metrics by intervention width","primary backbones","intervention_width_strata","Report every frozen pulse-width stratum without threshold replacement",not_authorized,"Analysis not selection"
SHP-A01,error_analysis,S3,complete_matrix,"response profile; onset; peak; signed masses","all selected systems","predeclared_strata","Describe verified patterns and nulls using only registered strata",not_authorized,"No outcome-driven subgroups"
SHP-E01,efficiency,S4,all_four_new_mechanisms,"wall time; peak memory; calls per second","primary backbones; references","audit_cost","Record cost without efficiency superiority claims",not_authorized,"T4 first; A100 only if needed"
