ID,Phase,Title,Section_Path,Claim_ID,Evidence_Type,Experiment_ID,Result_Status,Description,Source_Policy,Target_Citations,Visualization,Acceptance,Status,Verified_Citations,Depends_On,Must_Verify,Notes
P1R1,Research,Refresh nearest-work novelty boundary,Related Work,S1,citation,N/A,n/a,"Verify exogenous intervention response and TSFM causal-analysis literature before freeze",core,12,"Table 1 literature boundary","Closest work and distinction are explicit with primary-source URLs",DONE,12,N/A,yes,"Initial map dated 2026-09-19; refresh required before freeze"
P1D1,Design,Create owner-approved P1-SHAPE contract,N/A,S1,mixed,N/A,n/a,"Record claims untouched mechanisms metrics proposed bounds evidence matrix and stop rules",N/A,0,N/A,"Every claim maps to evidence and inference remains unauthorized at the design stage",DONE,0,N/A,yes,"Design approved 2026-09-19; later superseded by the separately recorded freeze approval"
P1E1,Experiment,Implement multi-resolution shape metrics,N/A,S2,experiment,SHP-V01,verified,"Implement signed block aggregation D_b gap AUC and timing diagnostics",N/A,0,N/A,"Range identity scale and degenerate-response tests pass",DONE,0,P1D1,yes,"CPU only; scientific code fc1cf6d73a59"
P1E2,Experiment,Implement construct fixture ladder,N/A,S2,experiment,SHP-V01,verified,"Implement oracle gain shift smoothing rebound sign and interaction fixtures",N/A,0,"Table 2 fixture selectivity","All registered selectivity and monotonicity assertions pass",DONE,0,P1E1,yes,"11/11 blocking checks passed; no checkpoint imports"
P1E3,Experiment,Implement untouched mechanisms,N/A,S1,experiment,SHP-V04,verified,"Implement biphasic pulse hysteresis and synergy paired generators",N/A,0,"Figure 2 mechanism gallery","All parameter corners are deterministic finite paired and nondegenerate",DONE,0,P1D1,yes,"768 scenarios passed; seeds 101 307 911"
P1E4,Experiment,Run CPU construct validation,N/A,S2,mixed,SHP-V01,verified,"Generate immutable construct report and bound rationale without model access",N/A,0,"Table 2 fixture selectivity","Report hashes match and every blocking assertion passes",DONE,0,P1E2;P1E3,yes,"Report bf5eb18eacb4; P0 outputs accessed=false"
P1E5,Experiment,Freeze P1 configuration,N/A,S1,experiment,SHP-P05,verified,"Lock parameters bounds checkpoints dependencies code and canonical hashes",N/A,0,N/A,"Owner types APPROVE P1-SHAPE FREEZE after reviewing P1E4",DONE,0,P1E4;P1R1,yes,"Approved 2026-09-19; config 27826ad34bfe; no future threshold changes"
P1E6,Experiment,Run isolated GPU smoke,N/A,S1,experiment,SHP-P01,verified,"One series per mechanism and backbone with no decision code",N/A,0,N/A,"Finite aligned responses and matching hashes for both backbones",DONE,0,P1E5,yes,"Chronos-2 and TimesFM-3 each passed 12/12 with config 27826ad34bfe and code fc1cf6d73a59"
P1E7,Experiment,Run complete frozen matrix,N/A,S1,mixed,SHP-P05,verified,"Execute all frozen cells and compute one immutable decision",N/A,0,"Figure 3 and Table 3","All artifacts hash-match and all cells are retained",DONE,0,P1E6,yes,"Frozen gate passed with three qualifying cells spanning two mechanisms and both backbones"
P1R2,Research,Verify the submission literature set,Related Work,S1,citation,N/A,verified,"Expand the verified primary-source literature set before drafting prose",core,25,"Table 1 literature boundary","At least 25 citations are verified and mapped to claims",DONE,30,P1R1,yes,"Thirty primary-source entries verified and mapped on 2026-09-20; thirteen-item owner review shortlist retained"
P1E8,Experiment,Run transparent fitted references,N/A,S4,experiment,SHP-S01,verified,"Evaluate frozen Ridge-ARX and nonlinear dynamic regression references on the same mechanisms",N/A,0,"Table 4 transparent references","Protocol status and results are explicit for every mechanism",DONE,0,P1E7,yes,"Post-primary descriptive supplement complete: 12 units; 1536 series-model records; 8 cells; config 330e2317ffb7; report c3ed3ebfb62a; evidence role remains post-primary descriptive"
P1W2,Writing,Create evidence-constrained paper scaffold,Full manuscript,S1,mixed,N/A,verified,"Create section skeleton and complete eight-cell primary table without speculative prose",core,0,"Table 3 complete primary matrix","Every populated number traces to the archived frozen decision",DONE,0,P1E7,yes,"Primary table and post-primary fitted-reference table are now traceable to separate archived reports"
P1W1,Writing,Draft paper from verified P1 evidence,Full manuscript,S1,mixed,N/A,placeholder,"Backfill claims figures and tables only after the frozen decision and literature gate",core,35,"Figures 1-4 and Tables 1-4","Every result traces to a verified artifact and limitations are explicit",DOING,30,P1E7;P1R2,yes,"Full evidence-constrained prose draft and three tables completed; owner core-paper decisions, figures, venue formatting, and PDF compile remain before writing freeze"
